id,transliteration,translation
8695,nābu,insect eggs
8696,nābu,deity
8697,nābu,god
8698,nābutu,escaped
8699,nābutu,fugitive
8700,nādinatu,(woman) who has sold
8701,nādinu,giver
8702,nādinu,donor
8703,nādinu,seller
8704,nādinānu,the one who gave
8705,nādittu,(female) seller
8706,nādiānu,the one who laid out
8707,nādu,(water-)skin
8708,nādu,leather pouch
8709,nāgirtu,(female) herald
8710,nāgiru,(town) crier
8711,nāgiru,herald
8712,nāgurtu,hire
8713,nāhiru,dolphin
8714,nāhirānu,snorter
8715,nāhirānu,puffer
8716,nāhu,pig's fat
8717,nāhu,lard
8718,nākipu,goring
8719,nākisu,butcher
8720,nākisu,woodcutter
8721,nāliš,like a deer
8722,nālu,roe deer
8723,nāmartu,appearance
8724,nāmaru,mirror
8725,nāmaru,watch-tower
8726,nāmurtu,audience gift
8727,nāmurtu,present
8728,nāpaltu,answer
8729,nāpalû,interpreter
8730,nāpalû,translator
8731,nāpištu,female wool-plucker
8732,nāqidu,stock-breeder
8733,nāqidu,herdsman
8734,nāqidūtu,position
8735,nāqidūtu,task of a herdsman
8736,nāqiru,(wall) hook
8737,nāramu,blanket
8738,nāriš,like a river
8739,nāriṭu,marsh
8740,nāriṭu,swamp
8741,nārtu,ditch
8742,nārtu,canal
8743,nārtu,female musician
8744,nāru,river
8745,nāru,watercourse
8746,nāru,canal
8747,nāru,musician
8748,nārūtu,profession of musician
8749,nārūtu,musicianship
8750,nātu,handle
8751,nāziqu,creaking
8752,nāšiānu,that carried off
8753,nāšu,beer brewer
8754,nāšu,seller
8755,nāšû,bearing
8756,nāšû,bearer
8757,nāṣiru,guard
8758,nāṣiru,guardian
8759,nāṣu,plumage
8760,nāṣu,feathers
8761,nāṭilu,seeing
8762,nēbehu,band
8763,nēbertu,crossing(-place)
8764,nēberu,crossing
8765,nēberu,ford
8766,nēberu,ferry(boat)
8767,nēbettu,sash
8768,nēbettu,girdle
8769,nēhiš,calmly
8770,nēhiš,quietly
8771,nēhtu,calm
8772,nēhtu,peace
8773,nēhu,calm
8774,nēhu,peaceful
8775,nēkemtu,removal
8776,nēmedu,that on which one leans
8777,nēmel,because
8778,nēmelu,profit
8779,nēmelu,benefit
8780,nēmequ,wisdom
8781,nēmequ,sagacity
8782,nēmettu,levy
8783,nēmettu,imposition
8784,nēmettu,(cause for) complaint
8785,nēmettu,crutch
8786,nēmettu,back(rest)
8787,nēperētu,food provision
8788,nēpeštu,work(manship)
8789,nēpeštu,performance
8790,nēpešu,activity
8791,nēpešu,procedure
8792,nēpešu,tool
8793,nēpešu,implement
8794,nēpešu,(method of) construction
8795,nēpītu,baking trough
8796,nēr,600
8797,nērebtu,entrance
8798,nērebtu,entry
8799,nērebu,entrance
8800,nērebūtu,entrance
8801,nērtu,murder
8802,nērtu,killing
8803,nērtānītu,murderous
8804,nērubtu,flight
8805,nērubtu,rout
8806,nērubu,to flee
8807,nērubu,escape
8808,nērārūtu,aid
8809,nērārūtu,help
8810,nēsepu,shovel
8811,nēsepu,fire-rake
8812,nēštu,lioness
8813,nēšu,lion
8814,nēṣu,strong
8815,nību,naming
8816,nību,small piece
8817,nīdu,l(a)ying
8818,nīdu,throwing (down)
8819,nīktu,venereal disease
8820,nīku,(sexually) known
8821,nīku,lain with
8822,nīku,fornication
8823,nīku,sexual intercourse
8824,nīlu,lying down
8825,nīlu,wetness
8826,nīlu,moisture
8827,nīnu,we
8828,nīnû,Ammi
8829,nīpu,dried wood
8830,nīqu,offering
8831,nīqu,sacrifice
8832,nīqu,copulation
8833,nīru,yoke
8834,nīru,crossbeam
8835,nīru,light
8836,nīru,prayer
8837,nītiš,like a siege
8838,nītu,encirclement
8839,nītu,enclosure
8840,nītu,silence
8841,nīšu,lifting
8842,nīšu,raising
8843,nīšu,(oath on the) life
8844,nīṭu,bloody faeces
8845,nūbalu,dry land
8846,nūbtu,honey-bee
8847,nūgu,jubilation
8848,nūhtu,calm
8849,nūhtu,peace
8850,nūnu,fish
8851,nūptu,(supplementary) gift
8852,nūptu,payment
8853,nūru,light
8854,pa''ugu,taken away
8855,pa'āṣiš,in order to crush
8856,pa'āṣu,to break up
8857,pa'āṣu,crush
8858,pa'ṣu,crushed
8859,pa'ṣu,broken up
8860,padattu,form
8861,padattu,frame
8862,paddi'u,unfortunate person
8863,padû,to spare
8864,padû,set free
8865,padānu,way
8866,padānu,path
8867,paglu,strong
8868,paglu,huge
8869,pagru,body
8870,pagru,corpse
8871,pagrā'u,p. offering
8872,pagû,ape
8873,pagû,to slander
8874,pagû,lie
8875,pagālu,to be strong
8876,pahallu,thigh
8877,pahanu,prince
8878,pahhizu,presumptuous person
8879,pahhuzû,insolent
8880,pahnu,substitute
8881,pahādu,to be in terror
8882,pahāhu,to be weakened
8883,pahāhu,abate
8884,pahāru,potter
8885,pahāru,to gather
8886,pahāsu,to be constantly disappointed
8887,pahīdu,claimant
8888,paihu,clear
8889,pakku,consideration
8890,pakku,sagacity
8891,pakuttu,wooden stave
8892,pakāru,to present
8893,palgiš,like a ditch
8894,palgu,ditch
8895,palgu,canal
8896,palhiš,fearfully
8897,palhiš,reverently
8898,palhu,fearful
8899,palku,divided
8900,palku,demarcated
8901,palkû,wide
8902,palkû,broad
8903,pallahu,very reverent
8904,pallissu,female stone borer
8905,pallišu,housebreaker
8906,pallišu,burglar
8907,pallišu,(stone) borer
8908,palluhu,fearsome
8909,pallukku,double pin
8910,pallukku,rod
8911,pallāku,(field-)demarcator
8912,palqu,slaughtered
8913,palqu,killed
8914,palû,period of office
8915,palāhu,to fear
8916,palāhu,revere
8917,palāku,to divide off
8918,palāku,demarcate
8919,palālu,to guard
8920,palālu,watch over
8921,palāqu,to slaughter
8922,palāqu,strike down
8923,palāsu,to look (at)
8924,palāšu,to perforate
8925,palšu,pierced
8926,panakku,triangle inscribed in one-third of a circle
8927,pannaru,brush
8928,panû,to face
8929,panû,be ahead
8930,panāku,to decorate with a boss or knob
8931,papahhu,mountains
8932,papahhu,the east
8933,papallu,shoot
8934,papallu,sprout
8935,pappaltu,porridge
8936,pappardaliu,agate
8937,papparu,white area
8938,pappu,lock?/strand? of hair
8939,pappu,(the sign) PAB
8940,pappāsu,porridge
8941,papāhu,cella
8942,papāhu,shrine
8943,paqdu,entrusted
8944,paqdu,appointed (official)
8945,paqdu,to reckon as pledge
8946,paqādu,to entrust
8947,paqādu,care for
8948,paqādu,appoint
8949,paqāyu,mat-weaver
8950,par'u,sliced through
8951,para ṣehru,one third (of a shekel)
8952,parahšû,of Marhaši
8953,parakku,cult dais
8954,parakku,sanctuary
8955,paraktu,sail
8956,paramāhu,'pre-eminent dais'
8957,paras,fraction
8958,parasrab,five-sixths
8959,parattu,dry land
8960,paraššannu,pertaining to a trained horse
8961,pardiš,fearsomely
8962,pardu,afraid
8963,pardu,fearful
8964,pardu,frightening
8965,pardu,terrifying
8966,pardēsu,enclosed garden
8967,pargāniš,on the meadow
8968,pargānu,meadow
8969,pargānīu,meadow-grazed
8970,pariangu,harpoon
8971,pariktu,cross-wall
8972,pariktu,cross-furrows
8973,pariktu,obstructions
8974,pariktu,hindrances
8975,pariktu,in opposition
8976,pariktu,violent act
8977,pariktu,violence
8978,pariktu,blockage
8979,pariktu,barrier
8980,parkiš,cross-wise
8981,parku,transverse
8982,parkullu,seal-cutter
8983,parkullu,lapidary
8984,parmusānu,bridegroom
8985,parparhû,purslane
8986,parparhû,Portulaca species
8987,parratu,she lamb
8988,parriktu,strut
8989,parriktu,cross-bar
8990,parrisānu,boatmen
8991,parriṣu,lying
8992,parru,(male) lamb
8993,parru,weaned
8994,parrû,base
8995,parrû,common
8996,parrû,(homosexual) lover
8997,parrāṣu,liar
8998,parsiktu,bushel measure
8999,parsu,cut off
9000,parsīmu,p. of the year
9001,paruktu,sail
9002,parzillu,iron
9003,parû,mule
9004,parû,base
9005,parû,common
9006,parû,to speak basely
9007,parû,to vomit
9008,parûtu,baseness
9009,parûtu,slander
9010,parā'u,to cut off
9011,parā'u,slice through
9012,parā'u,to sprout
9013,parādu,to be scared
9014,parādu,terrified
9015,parādu,to separate o.s.
9016,parādu,cut o.s. off
9017,parāhu,to ferment
9018,parāku,to lie across
9019,parāku,obstruct
9020,parāmu,to shred
9021,parāqu,to divide off
9022,parāqu,separate
9023,parāru,to be dissolved
9024,parāru,broken up
9025,parāsu,to cut (off)
9026,parāsu,decide
9027,parāsu,to spread out
9028,parāšu,to flatter
9029,parāṣu,to breach
9030,parāṣu,lie
9031,parāṣu,to carry out ritual
9032,parāṭu,to tear
9033,parāṭu,clear away
9034,parīsu,rudder
9035,parīsu,boat-pole
9036,parīsu,half kurru
9037,paršu,excrement
9038,paršumu,to outlive
9039,paršīgu,headdress
9040,paršīgu,turban
9041,parūtu,(a kind of) quiver
9042,parūtu,vomit(ed matter)
9043,parṣu,office
9044,parṣu,(cultic) ordinance
9045,pasehtu,(part of) the intestines
9046,pasiqqû,(narrow?) canal
9047,paspasu,duck
9048,pasqu,(interior) ledge
9049,pasqu,cornice
9050,pasru,pole
9051,passalu,distorted
9052,passu,doll
9053,passu,pawn
9054,passu,gaming piece
9055,passuku,to clear (away)
9056,passuku,clear out
9057,pasuttu,(kind of fowling) net
9058,pasû,to press
9059,pasāhu,to drive away
9060,pasālu,to turn (away)
9061,pasāmu,to veil
9062,pasāsu,to erase
9063,pasūsātu,obliteration
9064,patarru,(battle) mace
9065,pathu,holed
9066,patinnu,sash
9067,patinnu,band
9068,patniš,strongly
9069,patnu,eaten
9070,patnu,tough
9071,patnu,resistant
9072,patqu,formed
9073,patqu,built
9074,patru,sword
9075,patru,dagger
9076,pattiš,like canals
9077,pattu,canal
9078,pattu,border (district)
9079,pattû,(a kind of) chest
9080,pattû,open(ed)
9081,pattānu,supporter
9082,pattānu,strengthener
9083,patāhu,to puncture
9084,patāhu,bore through
9085,patālu,to twine
9086,patānu,to dine
9087,patānu,to become strong
9088,patānu,strengthen
9089,patāqu,to shape
9090,patāqu,create
9091,patāqu,to drink
9092,patīhu,bag
9093,patīhu,sack
9094,patīru,sack
9095,pawera,lord
9096,pawera,great one
9097,pazitu,vizier
9098,pazriš,in secret
9099,pazru,concealed
9100,pazzurtu,concealment
9101,pazzurtu,secretly
9102,pazāru,to hide o.s.
9103,pazāru,be hidden
9104,pašallu,(a kind of) gold
9105,pašartu,threshing
9106,pašhu,resting
9107,pašhu,restful
9108,pašku,wooden block
9109,pašku,stump
9110,pašku,clod (of earth)
9111,pašqiš,with difficulty
9112,pašqu,narrow
9113,pašru,loosened
9114,pašru,dedicated
9115,pašurtu,sale
9116,pašû,to exhale
9117,pašāhiš,in restfulness
9118,pašāhu,to cool down
9119,pašāhu,rest
9120,pašālatti,crawling
9121,pašālu,to crawl
9122,pašānu,to yank
9123,pašānu,pull violently
9124,pašāqu,to be narrow
9125,pašāqu,be difficult
9126,pašāru,to release
9127,pašāru,free
9128,pašāšu,to anoint
9129,pašāṭu,to erase
9130,pašīratti,secretly
9131,pašīru,a secret
9132,pašīšūtu,rôle of pašīšu priest
9133,paššiššu,apprentice
9134,paššu,anointed
9135,paššurmāhu,high table
9136,paššuru,table
9137,pašūtu,expectoration
9138,paṣādu,to cut into
9139,paṣādu,slice
9140,paṣānu,to cover up
9141,paṣānu,veil
9142,paṣāṣu,to disappear
9143,paṣṣu,absent
9144,paṣṣu,missing
9145,paṣṣunu,veiled
9146,paṭru,released
9147,paṭāmu,to enclose in fat
9148,paṭāru,to loosen
9149,paṭāru,release
9150,paṭīru,portable altar
9151,pehû,sealed
9152,pehû,closed
9153,pehû,stupid
9154,pehû,to close up
9155,pehû,seal
9156,pehītu,sealed store
9157,pehūnu,incompetent builder
9158,pehūnu,jerry-builder
9159,pelludû,cult(ic rites)
9160,pelû,(light) red
9161,pelû,egg
9162,pelû,to be red
9163,pendû,mole
9164,pendû,stone of illumination
9165,penihuru,field surveyor
9166,peqqû,colocynth
9167,per'u,bud
9168,per'u,shoot
9169,perku,transverse line
9170,perku,crime
9171,perku,injustice
9172,perru,enrolment
9173,perru,payment collection
9174,perru,tax delivery
9175,persu,division
9176,perša'u,flea
9177,perṣu,breach
9178,pesnu,concealed
9179,pessû,lame
9180,pessû,limping
9181,pesû,to rejoice
9182,pesēnu,to cover up
9183,pesēnu,veil
9184,petqu,cast
9185,petîš,openly
9186,petû,open
9187,petû,to open
9188,peṣû,white
9189,peṣû,to be white
9190,pidānu,assay
9191,pidītu,pardon
9192,pidītu,indulgence
9193,pikallullu,aperture in oven
9194,pilaqqu,spindle
9195,pilaqquhuli,(female) spinner
9196,pilku,demarcated zone
9197,pilku,sector
9198,pilku,feudal service
9199,pillatu,stolen goods
9200,pillû,mandragora
9201,pilpilû,homosexual lover
9202,pilšu,breach
9203,pinku,knob
9204,pinku,boss
9205,pinnartu,rennet cheese
9206,pinnu,button
9207,pinnu,stud
9208,pinnāru,rennet cheese
9209,pipilû,sin
9210,piqannu,droppings (of sheep
9211,piqannu,gazelle)
9212,piqanānu,agent
9213,piqanānu,executor
9214,piqdu,allocation
9215,piqdu,consignment
9216,piqittu,allocation
9217,piqittu,check
9218,piqittūtu,post of responsibility
9219,pirankumma,to flee
9220,piri'tu,shoot
9221,piri'tu,sapling
9222,piriktu,opposition
9223,piriktu,violent act
9224,piriku,chatterer
9225,pirindu,slice
9226,pirinzahu,frog
9227,pirittu,terror
9228,pirištu,secret
9229,piriṣtu,falsity
9230,piriṣtu,falsehood
9231,pirqu,claim
9232,pirqu,redemption
9233,pirsu,weaned
9234,pirṣatu,deceit
9235,pisiltu,misadventure
9236,pisnuqiš,wretchedly
9237,pisnuqu,feeble
9238,pisnuqu,wretched
9239,pispisu,bug
9240,pissatu,erasure
9241,pisurru,skin of its p.
9242,pithu,perforation
9243,pitiltu,string
9244,pitiltu,cord
9245,pitinkak,glove
9246,pitiqtu,mud wall
9247,pitiqtu,mud masonry
9248,pitnu,box
9249,pitnu,(a musical instrument)
9250,pitpabaga,mess-mate
9251,pitqu,casting
9252,pitqudu,cautious
9253,pitqudu,prudent
9254,pitru,stomach lining
9255,pitrudu,frightened
9256,pitrustu,inconsistent result
9257,pitrusu,separate
9258,pitrusu,placed apart
9259,pitti,just as
9260,pitti,in the way that
9261,pittu,area
9262,pittu,vicinity
9263,pitēqu,offspring
9264,pitūtu,to tie a p.
9265,piyāmu,strong
9266,pizalluru,gecko
9267,piāqu,to make narrow
9268,piāqu,tight
9269,piātu,side
9270,pišannu,box
9271,pišannu,chest
9272,pišertu,release
9273,pišru,release
9274,pišru,interpretation
9275,pištu,abuse
9276,pištu,scandal
9277,pišīriš,clandestinely
9278,piššatu,ointment
9279,piṭru,release
9280,piṭātu,archers
9281,puggulu,very strong
9282,puggulu,massive
9283,puglu,radish
9284,pugudātu,bridle
9285,pugudātu,rein(s)
9286,puhattu,female lamb
9287,puhhu,to exchange
9288,puhhuru,assembled
9289,puhmahu,blind-worm
9290,puhpuhhû,squabble
9291,puhpuhhû,brawl
9292,puhpuhu,purslane
9293,puhriš,in assembly
9294,puhriš,together
9295,puhru,assembly
9296,puhutepi,scribal apprentice
9297,puhādu,lamb
9298,puhālu,male animal
9299,puhālu,stud
9300,pukkuru,to fetter
9301,pukkuru,tie up
9302,pulhu,fearsomeness
9303,pulhu,fear
9304,pulhītu,distress
9305,pulhītu,consternation
9306,pulluqu,slaughtered
9307,puluhhû,frightful appearance
9308,puluhtu,fear(someness)
9309,pulukkiš,like a mountain peak
9310,pulukku,needle
9311,pulukku,stake
9312,pulukku,boundary
9313,pulungu,boundary
9314,pulīhātu,anxiety
9315,pupuwalli,ruin
9316,puqqu,to pay attention to
9317,puquddû,(formal) delivery
9318,puquddû,legal consignment
9319,puquttu,thorn
9320,purkullūtu,lapidary's craft
9321,purqidam,on(to) the back
9322,purqidam,supine
9323,purrudu,terrified
9324,purruru,dispersed
9325,purruru,scattered
9326,purrušiš,flatteringly
9327,pursilû,1 qa vessel
9328,pursindu,vein
9329,pursāsu,(rear) lock of hair
9330,pursītu,(offering) bowl
9331,purukkû,backlog in payment
9332,purussû,decision
9333,purâtu,vomit(ed matter)
9334,purû,abuse
9335,purīdu,leg
9336,puršatta,like a flea
9337,puršumtu,old woman
9338,puršumu,old (man)
9339,pus'u,heavy perspirer
9340,pusmu,sleeve
9341,pussulu,crippled
9342,pussumu,covered up
9343,pussumu,veiled
9344,pussusu,erased
9345,pussusu,cancelled
9346,pusummu,veil
9347,putru,animal droppings
9348,putru,dung
9349,puttu,prince
9350,puttuhu,pierced
9351,puttulu,twisted
9352,puttulu,twined
9353,puttû,opened
9354,puzru,concealment
9355,puzzuru,concealed
9356,puāgu,to take away forcibly from
9357,puāšu,to reach agreement
9358,pušhatti,like a rat?
9359,pušhu,rat
9360,pušikku,carded wool
9361,pušištu,malt residue
9362,pušku,span
9363,pušqu,narrowness
9364,pušqu,straits
9365,puššurtu,solution
9366,puṣammūtu,laundry work
9367,puṣuddu,mongoose
9368,puṣû,whiteness
9369,puṣādū,cuts (of meat)
9370,puṣāṣû,crumb(s)
9371,puṣāṣû,chopping(s)
9372,puṭāru,grazing bull
9373,puṭūru,release
9374,puṭūru,ransom
9375,puṭṭuru,released
9376,pâdu,to confine
9377,pâdu,imprison
9378,pâru,to seek
9379,pâšu,to break up
9380,pâšu,crush
9381,pênu,to grind
9382,pû,mouth
9383,pû,chaff
9384,pādû,forgiving
9385,pādūtu,imprisonment
9386,pādūtu,arrest
9387,pāhu,sleeve
9388,pāliku,divider
9389,pālilu,guardian
9390,pālilu,watchman
9391,pālišu,borer
9392,pālītu,garment from Pala
9393,pāna,previously
9394,pāna,earlier
9395,pāna,in front
9396,pāni,previously
9397,pāni,before
9398,pāniš,in front
9399,pāniš,in advance
9400,pānišam,first
9401,pānišam,as first action
9402,pānu,front
9403,pānu,bushel
9404,pānâ,first
9405,pānû,first
9406,pānû,earlier
9407,pānû,front
9408,pānānu,previously
9409,pānānu,before
9410,pānānû,previous
9411,pānātu,front
9412,pānītu,earlier (time)
9413,pānītu,my previous document
9414,pāqidu,carer
9415,pāqiru,claimant
9416,pārisu,divider
9417,pārisu,decisive
9418,pāru,hymn
9419,pāru,skin
9420,pāru,hide
9421,pāru,product
9422,pāsū,(interior) part(s)
9423,pātu,edge
9424,pātu,rim
9425,pāšertu,dehusker
9426,pāširu,retail merchant
9427,pāširu,(dream) interpreter
9428,pāširu,dissolver
9429,pāšittu,obliterator
9430,pāštu,axe
9431,pāštu,adze
9432,pāšu,axe
9433,pāšu,adze
9434,pāṭeru,deserter
9435,pāṭerānu,the one who released/s
9436,pāṭu,border
9437,pāṭu,district
9438,pēgu,taken away
9439,pēhû,caulker
9440,pēmtu,charcoal
9441,pēmu,(upper) thigh
9442,pērtu,hair (of head)
9443,pērūrūtu,mouse
9444,pēthallu,riding horse
9445,pētân birki,swift runner
9446,pētû,door-opener
9447,pētû,porter
9448,pētû,thresher
9449,pētûtu,rôle of revealer
9450,pīdu,pardon
9451,pīdu,indulgence
9452,pīdu,imprisonment
9453,pīgu,lying
9454,pīgu,deception
9455,pīhu,beer-jar
9456,pīhātu,responsibility
9457,pīhātu,province
9458,pīhātūtu,provincial governorship
9459,pīlu,limestone
9460,pīlāniš,like limestone
9461,pīqa,on (one) occasion
9462,pīqat,perhaps
9463,pīqu,narrow
9464,pīqu,tight
9465,pīru,elephant
9466,pīsu,shovel
9467,pītu,opening
9468,pītu,aperture
9469,pītu,bundle
9470,pūgu,net
9471,pūhizzaru,exchange equivalent
9472,pūhtu,item of exchange
9473,pūhu,exchange
9474,pūhu,substitute
9475,pūqu,defile
9476,pūqu,cleft
9477,pūru,(stone) bowl
9478,pūru,lot
9479,pūtiš,opposite
9480,pūtu,forehead
9481,pūtu,brow
9482,pūtu,opening
9483,pūtuhhu,responsibility
9484,pūtānu,with (high) brow
9485,pūṣu,whiteness
9486,pūṣu,white spot
9487,pūṣāya,launderer
9488,pūṣāya,laundress
9489,qa'ālu,to gather
9490,qabaltu,middle
9491,qabaltīu,central
9492,qabbiru,burial priest
9493,qabbā'u,reporter?
9494,qabbā'u,informer?
9495,qabla,(in) the middle
9496,qabli,in the middle of
9497,qablu,hips
9498,qablu,middle
9499,qablu,battle
9500,qablu,plantation
9501,qablû,central
9502,qablāni,central part
9503,qablītu,centre
9504,qablītu,central part
9505,qabru,grave
9506,qabru,tomb
9507,qabuttu,(animal) stall
9508,qabû,animal pen
9509,qabû,to say
9510,qabû,speak
9511,qabû,command
9512,qabītu,spoken
9513,qabītu,expressible
9514,qabūtu,bowl
9515,qaddadāniš,bowed down
9516,qaddadāniš,bent over
9517,qaddu,bowed down
9518,qaddu,bent over
9519,qadma,in presence of
9520,qadmiš,previously
9521,qadmu,former time
9522,qadmu,preeminent
9523,qadu,together with
9524,qadu,including
9525,qadû,owl
9526,qadû,to screech like an owl
9527,qadā'u,to consent
9528,qadādu,to bow down
9529,qadāšu,to be(come) pure
9530,qadšūtu,status of a qdš-cultic servant
9531,qadūtu,silt
9532,qadūtu,dregs
9533,qadūtu,lees
9534,qahālu,to assemble
9535,qallalu,very small
9536,qallatu,female slave
9537,qallissu,slave girl
9538,qalliš,lightly
9539,qallu,light
9540,qallu,little
9541,qallu,slight
9542,qallu,forest
9543,qallupu,peeled
9544,qalluttu,slavery
9545,qalluttu,service
9546,qallû,(human) genitals
9547,qalmu,small
9548,qalpu,stripped
9549,qalpu,peeled
9550,qalullā'u,disrespect
9551,qalû,roasted
9552,qalû,parched
9553,qalû,to roast
9554,qalû,burn
9555,qalālu,to be(come) light
9556,qalālu,weak
9557,qalālu,slight
9558,qalālu,I hang down
9559,qalāpu,to peel
9560,qalītu,parched grain
9561,qamhurû,palm pith
9562,qamû,burnt
9563,qamû,parched
9564,qamû,to burn (up)
9565,qamāmu,to stand up
9566,qan ṭuppi,writing reed
9567,qan ṭuppi,stylus
9568,qanduppu,leech
9569,qannu,built
9570,qannu,fringe
9571,qannu,border
9572,qannā'u,jealous
9573,qanû,reed
9574,qanû,cane
9575,qanû,to keep possession of
9576,qanû,to acquire
9577,qanānu,to nest
9578,qanīnu,(built) nest
9579,qappatu,(palm-leaf) basket
9580,qapsīdu,edge (of garment)
9581,qapû,to turn upward
9582,qaqqadu,head
9583,qaqqadu,capital
9584,qaqqadû,headband
9585,qaqqadānu,on its head
9586,qaqqadānu,headlong
9587,qaqqadānû,with large head
9588,qaqqariš,(down) to the ground
9589,qaqqaru,ground
9590,qaqqaru,earth
9591,qaqqaršu,onto the ground
9592,qardamu,enemy
9593,qardamu,adversary
9594,qardu,valiant
9595,qardu,heroic
9596,qardūtu,heroism
9597,qardūtu,warriorhood
9598,qarhu,ice
9599,qarhu,frost
9600,qarnu,horn
9601,qarnû,horned
9602,qarnānû,horned
9603,qarru,crooked
9604,qarruhu,bald
9605,qarrādu,warlike
9606,qarrādu,hero
9607,qarrādu,warrior
9608,qarrādūtu,heroism
9609,qarrātu,invitation
9610,qarû,invited
9611,qarābu,battle
9612,qarādu,to be warlike
9613,qarāhu,to freeze
9614,qarāmu,to cover
9615,qarāmu,overlay with (= acc.)
9616,qarānu,to stack up
9617,qarānu,pile on
9618,qarāru,to writhe
9619,qarāru,grovel
9620,qarāšu,to chop up
9621,qarītu,grain-store
9622,qarūru,rolling back
9623,qarūru,recession
9624,qatinnūtu,status of a qatinnu
9625,qatnu,thin
9626,qatpu,plucked
9627,qatru,smoky
9628,qatrānu,cedar resin
9629,qattanu,very thin
9630,qatû,ended
9631,qatû,completed
9632,qatû,to come to an end
9633,qatû,finish
9634,qatûtu,state of completion
9635,qatālu,to kill
9636,qatānu,to be(come) thin
9637,qatānu,narrow
9638,qatāpu,to pluck
9639,qatāru,incense
9640,qatāru,to smoke
9641,qayyalu,attentive
9642,qayyapu,tottering
9643,qayyapu,liable to collapse
9644,qayyašu,generous
9645,qayyašu,liberal
9646,qašbu,dried dates
9647,qašdu,pure
9648,qašdu,holy
9649,qašdūtu,status of a qdš-cultic servant
9650,qaštu,bow
9651,qašādu,to be(come) pure
9652,qaššu,holy
9653,qaššu,dedicated
9654,qaṭû,to come up
9655,qebru,buried
9656,qebēru,to bury
9657,qemû,to grind
9658,qenû,to be jealous
9659,qerbetu,environs (of a settlement)
9660,qerbetu,meadowland
9661,qerbiš,nearby
9662,qerbiš,close at hand
9663,qerbiš,instantly
9664,qerbiš,forthwith
9665,qerbiš,inside
9666,qerbu,near
9667,qerbu,centre
9668,qerbu,interior
9669,qerbû,internal
9670,qerbēnu,inside
9671,qerbītu,centre
9672,qerbītu,interior
9673,qerbūtu,nearness
9674,qerubtu,vicinity
9675,qerû,to call
9676,qerû,invite
9677,qerēbu,to be/come close
9678,qerītu,banquet
9679,qerītu,feast
9680,qeršu,strip
9681,qeršu,band
9682,qettā'u,reed-cutter
9683,qibītu,speech
9684,qibītu,command
9685,qiddatu,bending down
9686,qiddatu,declination
9687,qiddu,vault (of sky)
9688,qilpu,rind
9689,qilpu,skin
9690,qiltu,lye
9691,qiltu,alkali
9692,qilûtu,burning
9693,qimmatu,tuft
9694,qimmatu,plume
9695,qimītu,burning
9696,qimītu,incineration
9697,qinnatu,buttocks
9698,qinnatu,rump
9699,qinniš,backwards
9700,qinnu,nest
9701,qinnāzu,whip
9702,qinû,envy
9703,qinītu,acquisition
9704,qinītu,property
9705,qirīru,wick
9706,qirītu,announcement
9707,qitbulu,to engage in combat
9708,qitmu,black paste
9709,qitpu,gathering
9710,qitpu,plucking
9711,qitrubiš,in close combat
9712,qitrudu,very warlike
9713,qitrunu,accumulating (wealth)
9714,qitrunu,miserly
9715,qiālu,to fall
9716,qiāpu,to (en)trust
9717,qiāpu,believe
9718,qiāšu,to give
9719,qiāšu,present
9720,qištiš,like a forest
9721,qištu,forest
9722,qištu,wood
9723,qiššû,cucumber
9724,qu''û,to await
9725,qu''û,wait for (= ana
9726,qu''û,dat.)
9727,qubbulu,to accept
9728,qubirtu,(snake's) lair
9729,qubû,lamentation
9730,qubūru,grave
9731,qubūru,burial place
9732,quddu,(kind of) axe
9733,quddušu,purified
9734,quddušu,consecrated
9735,qudmiš,in front of
9736,qudmu,front (side)
9737,qudmu,primeval
9738,qudmû,primordial
9739,qudru,q. seed
9740,qudāšu,(ear?)ring
9741,quliptu,skin of scales
9742,qullulu,despised
9743,qullulu,little valued
9744,qullû,roasted
9745,qullû,burnt
9746,qulmû,(kind of) axe
9747,qulpu,rind
9748,qulpu,bark
9749,qulqulliānu,cassia
9750,qulālu,belittlement
9751,qulālu,disgrace
9752,qumahhu,cattle
9753,qummānû,leprous
9754,qummārûtu,case of leprosy
9755,qumāru,shoulder and upper arm
9756,qumāšu,capital (of a column)
9757,qunnabru,fetters
9758,qunnabtu,hemp plant
9759,qunnabu,hemp
9760,qunnunu,rolled up
9761,qunû,of lapis lazuli colour
9762,qunātā,woad (Isatis tinctoria)
9763,quppatu,box
9764,quppu,collapsed
9765,quppu,box
9766,quppu,chest
9767,quppû,sharp knife
9768,quppû,scalpel
9769,qurbiš,recently
9770,qurbu,near
9771,qurbūtu,closeness
9772,qurdu,warriorhood
9773,qurdu,heroism
9774,qurnû,marjoram
9775,qurnātu,horned goddesses
9776,qurpisu,helmet
9777,qurqurratu,female metal-worker
9778,qurqurru,metal-worker
9779,qurqurru,esp. coppersmith
9780,qurqurrūtu,copper-working
9781,qurrubu,brought close
9782,qurrubu,presented
9783,qurruru,leaky
9784,qurrû,called together
9785,qurrû,summoned
9786,qurunniš,into a heap
9787,qurunnu,heap
9788,qurādu,hero
9789,qurādu,warrior
9790,qurādūtu,heroism
9791,qutru,smoke
9792,qutrēnu,incense (offering)
9793,quttunu,very thin
9794,qutturu,smoked
9795,qutturu,smoky
9796,quttû,completed
9797,quttûtu,completion
9798,quttûtu,finished state
