,source_id,row_index,segment_idx,transliteration,translation
1279,,1282,0,a-na a-lá-ḫi-im ù ḫi-na-a qí-bi-ma um-ma e-lá-ma-ma iš-té-en šu-qú-ul 1 GÚ 5 ma-na iš-té-en 1 GÚ ŠU.NÍGIN 2 GÚ 5 ma-na AN.NA ku-nu-ku 25 ma-na AN.NA qá-tim 62 ku-ta-nu 4 TÚG šu-ru-tum ša li-wi-tim 25 TÚG šu-ru-tum ŠU.NÍGIN 91 TÚG.ḪI.A 4 ANŠE.ḪI.A ṣa-lá-mu 1 ku-sí-tum i-a-tum ù ša-nu-um ša ta-aḫ-sí a-na lá-ma-sà-tim 2 ku-ta-nu ša bé-ú-lá-at ma-nu-ki-li-a 2 ku-ta-nu ša bé-ú-lá-at en-nam-a-šùr mì-ma a-nim en-nam-a-šùr DUMU dì-dì-a i-ra-de₈-a-ku-nu-tí 2 GÚ 10 ma-na AN.NA ku-nu-ku 4 TÚG šu-ru-tum li-wi-tum 5 TÚG ku-ta-nu 2 ma-na AN.NA qá-tim 1 ANŠE ṣa-lá-mu-um <gap>-ma ḫi-im <gap> 60 ku-ta-nu 2.3333 ma-na <gap> GÍN AN.NA a-na qá-tí-šu a-dí-in <gap> ma-na URUDU 3 ku-ta-nu <gap>-BA mì-ma a-nim <gap>,"To Ali-ahum and hinnāya, thus Elamma: One packet of 1 talent 5 minas, one of 1 talent, in all 2 talents 5 minas of tin under seals; 25 minas loose tin. 62 -textiles, 4 black textiles for wrapping, 25 dark textiles, in all 91 textiles. Four black donkeys one -garment of my own and a cauldron of Tahsi for Lamassutum. 2 being the working capital of Mannu-kī-iliya, 2 being the working capital of Ennam-Aššur. All this Ennam-Aššur, son of Didiya is bringing to youplur. 2 talents 10 minas of tin under seals, 4 dark textiles for wrapping, 5 -textiles, 2 minas of loose tin, one black donkey ? <gap>-60 -textiles, 2.3333 minas and <gap> shekels of tin I gave in his hand. <gap> minas of copper, 3 -textiles <gap>, all this PN is bringing you?."""""
1280,,1283,0,1.5 GÍN KÙ.BABBAR a-šu-mì a-zu e-mì-šu ša a-lu-wa mu-ṭá-e ú-ra-dí,"1.5 shekel of silver, underweight, I added in the name of Azu the brother-in-law of Aluwa."
1281,,1284,0,a-na en-nam-a-šur qí-bi-ma um-ma a-na-a-na-ma 2 TÚG lá-qé-ep <gap> 1 ma-na 10 GÍN <gap> wa-ta-ar-tám <gap> al-qé 1 ma-na <gap> ḫa-ta-a-aḫ-šu <gap> KÙ.BABBAR qá-at <gap> TÚG ku-sí-tim <gap> al-qé 12 GÍN <gap> ki-kà-ar-ša-an <gap> i-na KÙ.BABBAR a-<gap> 0.6666 ma-na <gap> a-na ma-lá tí-ir-tí-kà a-na <gap> ni-dí-in <gap> am-tám áš-<gap> 10 GÍN <gap> áš-qúl <gap> ṭup-pí-šu-nu <gap> KÙ.BABBAR a-na 8 <gap> áš-qúl 1.5 GÍN KÙ.BABBAR a-na lu-bu-ší-šu ša e-<gap> áš-qúl 1 GÍN KÙ.BABBAR a-na <gap> ší-na ḫa-ni 2 GÍN <gap> 1.5 GÍN a-na sà-ḫi-ir-tim 2.6666 GÍN a-na <gap> ù ša dí-du-tim <gap> 0.3333 GÍN a-na tí-ib-nim KÙ.BABBAR ša i-na-<gap> am-ta-ḫu-ru a-na <gap> zi-tí-kà ù qá-<gap> 1 ma-na KÙ.BABBAR aḫ-<gap> iš-tù tí-ir-ta-kà i-li-kà-ni <gap> KI ku-ša-ra a-na <gap> al-qé-ma <gap> i-na ITU <gap> KÙ.BABBAR a-<gap> ù ra-<gap> ša 1.6666 ma-na 5 GÍN KÙ.BABBAR ni-iḫ-bu-lu KÙ.BABBAR KI pá-ni-im-ma šé-bi₄-lá-ma a-na ku-ša-ra lá-áš-qúl ṣí-i,To Ennam-Aššur from Anna-anna: 2 textiles Lā-qēp <gap> 1 mina 10 shekels <gap> extra I received. 1 mina <gap> hatahšu <gap> silver <gap> a robe <gap> I received. 12 shekels <gap> Kikaršan <gap> of the silver <gap> 0.6666 mina <gap> in accordance with your message we gave to <gap> the maid <gap> 10 shekels <gap> I paid <gap> their tablets <gap> I paid <gap> silver for 8 <gap> 1.5 shekel of silver for the clothes of E<gap> I paid. 1 shekel of silver for two <gap>; 2 shekels <gap>; 1.5 shekel for small goods; 2.6666 shekels for <gap> and of the fibula <gap> 0.3333 shekel for straw <gap> The silver that I have received of <gap> of your share <gap> 1 mina of silver <gap> After your message arrived <gap> I received from Kuššara and <gap> in the month <gap> that we owe 1.6666 mina 5 shekels of silver; send the silver as soon as possible so I can pay to Kuššara. The interest must not increase.
1282,,1285,0,ṭup-pu-um ša 10 GÍN KÙ.BABBAR ša a-bi-a-a DUMU ú-zu-a ṭup-pu-um ša 0.3333 ma-na 1 GÍN KÙ.BABBAR ša pé-ru-a-aḫ-šu ú e-lá-lí DUMU šál-ma-a-šùr ṭup-pu-um ša ku-nu-uk ú-ṣú-ur-ší-IŠTAR DUMU da-da-a ša a-na i-a-tí ú a-šùr-ba-ni lá i-tù-ru-ú ṭup-pu-um ša ba-áb DINGIR ša PÚZUR-a-šur a-šu-mì IR {d}UTU.SIPA ṭup-pu-um ša ku-nu-uk ur-du-um DUMU a-šùr-i-mì-tí ša a-na PÚZUR-a-šùr ú a-sà-nim lá i-tù-ru-ú ṭup-pu-um ša 0.5 ma-na ša ku-nu-uk PÚZUR.IŠTAR DUMU a-lá-bi-im ša ší-im {d}UTU-tap-pá-i ŠU.NÍGIN 6 ṭup-pu-ú i-na ta-ma-lá-ki-im kà-bu-tim ṣa-aḫ-ri-im ša-ak-nu,"A tablet about 10 shekels of silver of Abiya, son of Uzua; a tablet about 21 shekels of silver of Peruʾahšu and Elālī, son of Šalim-Aššur; a tablet with the seal of Uṣur-ša / i-Ištar, son of Dadaya, that he will not seek a vindication against me and Aššur-bāni; a tablet with a sworn deposition of Puzur-Aššur concerning the slave Šamaš-rēʾī; a tablet with the seal of Urdum, on of Aššur-imittī, that he will not seek a vindication against Puzur-Aššur and Asānum; a tablet about 0.5 mina of silver, with the seal of Puzur-Ištar, son of Ali-abum, concerning the purchase price of Šamaš-tappāʾī. In all six tablets, placed in the "
1283,,1286,0,5 na-ru-uq lu ŠE um lu ar-ša-tum ša a-we-el-tum i-ta-dí-nu-ma 1 ma-na KÙ.BABBAR a-lá-ḫu-um il₅-qé,"For 5 sacks, both barley and wheat, which the lady delivered, Ali-ahum received 1 mina of silver. "
1284,,1287,0,2 ma-na 10 GÍN KÙ.BABBAR ša a-na ša-lim-a-šùr ḫa-bu-lá-ni-ni ŠÀ.BA 0.5 ma-na ú-ra-a 0.5 ma-na a-mur-IŠTAR 0.3333 ma-na 8.25 GÍN a-šùr-ta-ak-lá-ku DUMU šu-{d}EN.LÍL 12 LÁ 0.25 GÍN i-ku-num 0.5 ma-na a-šùr-ta-ak-lá-ku,"Concerning 2 minas 10 shekels of silver that we owed to Šalim-Aššur, of that: 0.5 mina: Uraya, 0.5 mina: Amur-Ištar, 28 1 / 4 shekels: Aššur-taklāku son of Šu-Illil, 12 minus 1 / 4 shekels: Ikūnum, 0.5 mina: Aššur-taklāku."
1285,,1288,0,a-na ša ki-ma i-a-tí qí-bi-ma a-ma-kam a-šur-ták-lá-ku pí-šu li-ip-té-ma <gap> ma-na LÁ 1 GÍN KÙ.BABBAR ša-áš-qí-lá-šu lá ta-ga-mì-lá-šu (5 broken lines) <gap> ma-na <gap>-i-dí DUMU lá+lá-<gap> KÙ.BABBAR 10 ma-na <gap>-ba-ni ḫa-ra-an <gap>-a na-ší,"Say to my representatives: ""Here Assur-taklaku should make a statement and then make him pay <gap> mina minus 1 shekel of silver. Have no consideration with him!"""
1286,,1289,0,a-na en-na-nim ku-ku-ú-a ma-ma-ḫi-ir ù ḫa-dí-tim qí-bi-ma um-ma en-nam-a-šùr-ma a-na ḫa-dí-tim qí-bi-ma i-na pá-ni-tim-ma iš-tí ma-ma-ḫi-ir tí-ir-tí i-li-kà-ki-im um-ma a-na-ku-ma ú-ṭá-tám ša a-na a-wi-lá-tim ša KÙ.BABBAR 2 ma-na a-na u₄-me ú-šé-ru-ma ku-a-tí ú ša-<gap> KÙ.BABBAR ší-im ú-ṭá-tim <gap> a-ṣé-ri-a ta-ú-<gap> a-na-ku a-na <gap> a-dí ma-lá ú ší-ni-šu KÙ.BABBAR <gap> a-na lá-qé-ep <gap> dí-ni ú <gap> a-ḫa-ma li-bi-ší a-dí ḫa-ra-ni i-na a-lá-ki-a li-bi mì-ma lá tù-ša-ni ú ú-ṭá-tám ša tù-um-li-a-im ú ša DUMU uš-ḫa-ta <gap> ma-lá i ša-nim ni-<gap> li-bi-ší a <gap> a-na ku-ku-a qí-bi-ma um-ma en-um-a-šur-ma ší-im e-<gap> ṭup-pá-kà <gap> u₄-me-e áš-<gap> um-ma šu-bé-lúm-ma u₄-mu-kà ma-al-ú KÙ.BABBAR ša <gap> 0.5 ma-na KÙ.BABBAR ší-im TÚG.ḪI.A iš-tí wa-al-dí-lim ṣa-áb-ta-šu-ma KÙ.BABBAR ša-áš-qí-lá-šu 25 na-ru-uq GIG kà-ar-ší-ni er-ša-ma i be-et en-na-nim li-bi₄-ší,"To Ennānum, Kukuwa, Man-mahir and Hadītum from Ennam-Aššur; specifically to hadītum: Earlier I sent word to you with Man-mahir, saying: The grain that I released on terms to the ladies for 2 minas of silver <gap> and which <gap> for you and Ša<gap>, the silver, the price of the grain <gap>to me."" <gap> I <gap> both once and twice <gap>the silver <gap> give to Lā-qēpum <gap> and <gap> let it remain apart until the journey. Do not alienate me when I arrive. Also, the grain from the man from Tumliya and from Ušhata's son <gap> in the second <gap> it should remain <gap> to Kukuwa from Ennam-Aššur: The price of <gap> your tablet <gap> terms <gap> Šu-Bēlum said: ""Your term is up. Have him pay the silver."" 0.5 mina of silver, the proceeds from the sale of my textiles is in Waldi-ilum's possession, so seize him and make him pay. Demand 25 sacks of wheat from Karšini, and let them be kept in Ennānum's house."""
1287,,1290,0,um-ma en-um-a-šùr ú da-dí-a-ma a-na e-lá-ma qí-bi-ma a-na-kam a-na aḫ-ša-lim ú-nu-ut-kà ni-ip-qí-id i-na ba-ab a-bu-lim i-na wa-ṣa-i-šu iš-tù ḫa-ra-nu-um da-ri-<gap>-ú a-šùr-i-dí i-li-kam-ma a-na 4 ma-na KÙ.BABBAR a-šùr-i-dí aḫ-ša-lim iṣ-ba-at um-ma šu-ut-ma ú-lá ú-ša-ar-kà i-na ri-em lu-qú-tim ki-ma ú-nu-tim lá ta-ú-ri-im a-na-ku ú da-dí-a a-na 4 ma-na KÙ.BABBAR qá-ta-tí-šu ni-il₅-ta-pá-at i-ḫi-id-ma aḫ-ša-lim KÙ.BABBAR e-ri-iš-ma um-ma a-ta-ma ša ki-ma i-a-tí qá-ta-tí-kà il₅-ta-ap-tù KÙ.BABBAR šu-qú-ul-ma a-na a-wi-li lu-šé-bi-il₅-ma a-na a-šùr-i-dí li-iš-qú-lu ša ki-ma i-a-tí ṭup-pá-am iš-puru-nim <gap> šu-ma e-ta-ba-at šu-up-ra-ma a-na-kam é-bé-sú a-na ší-mì-im lu ni-dí-in,"Thus Ennam-Aššur and Dadiya, say to Elamma: Here we entrusted your goods to Ah-šalim In the city-gate, when he was about to leave, after the caravan had already, Aššur-idī came and Aššur-idī seized Ah-šalim for 4 minas of silver, declaring: 'I will not let you go!'. Out of consideration for the merchandise, in order not let the goods be brought back, we, I and Dadiya, had ourselves booked as his guarantors for the 4 minas of silver. Take care to ask Ah-šalim for the silver, saying: ""My representatives let themselves be booked as your guarantors. Pay the silver then I will send it to the gentlemen, so that they can pay it to Aššur-idī. My representatives "" If he has fled, write to us, then we will sell his house here."""
1288,,1291,0,um-ma ša-lim-a-šur-ma a-na en-nam-a-šur ù a-lá-ḫi-im qí-bi-ma a-dí ša ḫa-na-a ša ta-áš-pu-ra-ni i-na GÍR ša a-šur ta-me-a-šu-ma iš-tù KÙ.BABBAR a-na e-bu-ṭim a-dí-nu-šu-ni a-lá-an KÙ.BABBAR ša ú-kà-lá-ku-nu-tí-ni wa-at-ra-am lá kà-áš-du-ni li-it-ma-ma ù KÙ.BABBAR ma-lá ú-kà-lá-ku-nu-tí-ni le-eq-a ù a-dí ša a-šur-i-mì-tí i-na a-lim{ki} <gap>-ni ni ta-ta-<gap> da i <gap> ta ḫa-bi-a-nim <gap> ì-lí-áš-ra-ni <gap> DUMU <gap> bi a <gap> ṣú-ba-tí-kà ú ni tim <gap> a-šùr-i-mì-tí <gap> ni ša šu,"From Šalim-Aššur to Ennam-Aššur and Ali-ahum: Concerning the matter of hannaya that you wrote me about, make him swear by Aššur's dagger - let him swear that after I gave him silver for an investment he has not achieved anything else apart from the silver he offers to you, and then take the silver he offers to you. Also, concerning the matter of Aššur-imittī, in the City <gap> happiānum <gap> Ilī-ašrannī <gap> the son <gap> of your textiles <gap> Aššur-imittī <gap>"
1289,,1292,0,i-na ḫa-ar-pì-im <gap> i-ša a-na KÙ.BABBAR i-ša-qú-lu KÙ.BABBAR i-na áb-nim ni-a-tim ta-ki-tám i-ša-qú-lu,"in summer they will <gap>, at Anna's festival they will pay the silver. They will weigh it out by our weight, in the correct amount."
1290,,1293,0,a-na ku-li-a qí-bi-ma um-ma a-sà-num-ma a-na-kam i-qá-qá-ar ší-a-ma-tim wa-áš-ba-ku ú ší-mu-um ma-ad ší-ma-am ša ta-šé-e-ú i li-bi-kà ša ba-lá-ṭí-kà ú ba-lá-ṭí-ni a-na-kam-ma ú-šé-lá šál-ma-ku mì-ma i li-bi₄-kà lá ta-na-ḫi-id ší-ma-am šu-ra-am ša i-dí-ú i li-bi-i ma-tí-im ša ḫa-tim KÙ.BABBAR šé-bi-lá-ma ší-ma-am lá-áš-a-am-ma a-pí-iš ku-ku-ú-ma e-ra-ba-ni lu-šé-ri-ba-am ki-ma KÙ.BABBAR ṭa-aḫ-dum i-na ḫa-tim i-né-pu-šu-ni ú li-ba-kà i-ḫa-du-ú e-pu-uš KÙ.BABBAR ú-lá tù-šé-bi-lam ší-ma-am ša ú-šé-ra-ba-ni ta-ma-ar li-ba-kà e im-ra-aṣ a-bi-i a-ta be-lí a-ta KÙ.BABBAR ša e-na-na-tum i-dí-na-ni i-na {d}UTU-ši ú-ṣa-ni ú-ku-ba-ku-ma KÙ.BABBAR lá ú-me-er KÙ.BABBAR šé-bi-lam-ma iš-tí KÙ.BABBAR a-nim lu ší-pí-ir-šu KÙ.BABBAR e-lá tù-šé-bi-lam-ma li-ba-kà ú li-bi-i e im-ra-aṣ ḫa-nu-ba a-na-kam ú-ta-za-am um-ma šu-ut-ma a-dí-i na-áš-pè-er-tám ša ku-li-a a-ša-me-ú a-ma-kam a-ma-tim lá,"To Kuliya, thus Asānum: I am staying here in an area of purchases and there is much for sale! Purchases at which you are striving, which will secure you and us a profit, I can realize here. I am well, there is not reason to worry. <gap> purchase goods that they are in the countryside of hattum. Send me silver then I will make purchases and since Kukū is about to arrive, let him bring them in. Take action so that an abundance of silver can be earned in hattum and you can rejoice, lest you will regret not having sent me silver, when you see what purchases I am bringing in! My father, my lord, as for the silver that Enannātumhave me, the day I left that I did not that silver. Send me silver and let him be the messanger coming with that silver. Do not fail to send silver lest both you and I will regret it! Here hanuba keeps complaining, saying: Until I hear from Kuliya I will not release the slave-girls over there."" His representatives too spoke in the same strain. Please, see to it, gentleman as you are, that a favorable letter of yours reaches Šu-Suen, hanuba, Puzur-Lama, me, and your caravan. Take action to bring your caravans in and concerning the slave-girls."""
1291,,1294,0,a-na e-lá-ma qí-bi-ma um-ma a-ḫu-qar ù a-šùr-iš-tí-kál-ma a-na-kam šu-be-lúm ni-iṣ-ba-at-ma ṭup-pá-am me-eḫ-ra-am ša lá-qé-ep nu-ša-áš-me-šu-ma um-ma né-nu-ma ší-bu-ta-kà dí-in um-ma šu-ut-ma iš-tù pá-na-ma a-na pí-lá-aḫ-a-šùr ší-bu-tí a-di-in KÙ.BABBAR a-na a-lim{ki} ša-ak-šu-dam lá qá-bi né-ru-ub-ma me-eḫ-re ša ba-áb DINGIR ša ší-bu-tí-šu ša a-na pì-lá-aḫ-a-šùr i-dí-nu ni-iš-me lá-qí-ip tap-pá-i a-ma me-eḫ-ri ší-me a-ma-kam ma-lá-kà a-na-kam ib-ni-lí DUMU a-šùr-{d}UTU-ši wa-ar-kà-sú nu-ša-il₅-ma ù e-ba-ru-uš-šu ku-ni-lúm ù i-dí-IŠTAR nu-ša-il₅-ma eṭ-lu-um ke-en₆ ú wa-ar-kà-tám i-šu ṣú-ḫa-ar-tám ta-da-nam lá ta-da-nam té-er-ta-kà li-li-kam,"Say to Elamma, thus Ahu-waqar and Aššuriš-tikal: Here we seized Šu-Bēlum and we made him listen to the tablet, a copy, of Lā-qēp and we said to him: 'Give your testimony!' He answered: 'Some time ago I already gave my testimony to Pilah-Aššur (that) no promise has been made to deliver the silver to the City'. We entered and listened to (the text of) the copies of his testimony drawn up in the gate of the god, that he had given to Pilah-Aššur (and they read): 'Lā-qēp was my companion'. Here is my copy, listen to it; it is up to you there (what to do)'. Here we questioned Ibni-ilī, son of Aššur-šamšī, about his record and we also questioned his friends, Kūn-ilum and Iddin-Ištar, and the result was: The man is reliable and has a (good) record. Let your instruction come to me whether the girl must be given or not."""
1292,,1295,0,a-na LUGAL-sú-en₆ qí-bi₄-ma um-ma a-šùr-GAL-ma TÚG pá-ra-kà-nu-kà ú ší-tí Ì.GIŠ a-na-kam a-dí-in i-ba-ší-ú ša ki-ma ša-zu-za-tí-kà a-mì-ša-am i-ta-al-ku-nim a-na-kam ni-ki-iš-tám ša kà-ri-im ša ki-ma a-na nu-a-im mì-ma ší-mì-im ma-ma-an lá i-du-nu 0.3333 ma-na 1 GÍN KÙ.BABBAR ku-nu-ki-ni DU₁₀-ṣí-lá-a-šùr na-áš-a-kum a-ḫi a-ta té-er-ta-kà a-ni-tum lá a-ni-tum li-li-kam KÙ.BABBAR 1 GÍN lá a-kà-al,"4 minas 3.8333 shekels of refined silver Idnāya owes to Elamma. From the week of Šukutum and Urāya he will add as interest 1 1 / 4 shekel per mina per month. In the presence of Ilabrat-bāni, of Ibni-ilī."
1293,,1296,0,DU₁₀-ṣí-lá-a-šur sí-ki-i šu-sú-in iṣ-ba-at-ma um-ma šu-sú-en-ma a-na mì-nim tù-kà-la-ni um-ma DU₁₀-ṣí-lá-a-šur-ma a-na gám-ri-im ú-kà-al-kà um-ma šu-sú-in-ma ša ni-ìš a-lim{ki} ta-mu-ú lu ú-kà-al ki-ma mì-ma lá ḫa-bu-lá-ak-šu-ni-ma ú-kà-li-ni IGI en-na-sú-in DUMU a-šur-DU₁₀ IGI en-na-sú-in DUMU a-šur-DU₁₀ IGI a-bu-ša-lim DUMU a-šur-be-el-a-wa-tim,"Ṭab-ṣilli-Aššur seized Šu-Suen by his hem whereupon Šu-Suen said: Why are you holding me?"" Ṭāb-ṣilli-Aššur answered: ""For the expenses I hold you!"" Šu-Suen declared: ""I surely retain what is stated with an oath by the city, that he holds me although I do not owe him anything!"" In the presence of Ennam-Suen, son of Aššur-ṭāb, In the presence of Ennam-Suen, son of Aššur-ṭāb, of Abu-šalim, son of Aššur-bēl-awātim."""
1294,,1297,0,1 GÚ 17 ma-na URUDU ù 0.5 ma-na KÙ.BABBAR ki-iš-da-tí-a ša a-na a-šur-na-da ù ú-zu-a e-zi-bu 25 ma-na URUDU a-šur-na-da il₅-qé 10 ma-na a-lá-ḫu-um ku-ri-um il₅-qé ší-tù-um iš-tí-šu-nu i-ba-ší 6 ma-na URUDU ší-im ep-ri a-na ú-zu-a e-zi-ib,"As to the 1 talent 17 minas of copper and 0.5 mina of silver, my earnings which I left with Aššur-nādā and Uzuwa — Aššur-nādā took 25 minas of copper; Ali-ahum, ""Shorty"", took 10 minas. The remainder is with them. I left 6 minas of copper, the price of rations, with Uzuwa."
1295,,1298,0,1 ma-na 15 GÍN KÙ.BABBAR i li-bi ša-ri-ša a-lá-ḫi-nim 0.6666 ma-na 5 GÍN KÙ.BABBAR a-ni i-ša-qal 0.5 ma-na KÙ.BABBAR a-na ša ú-sú-me-e i-ša-qal 5 e-re-qá-tim ša e-ṣé-e a-ni i-ša-da-dam IGI e-ri-ší-im,"1 mina 15 shekels of silver is owed by Šariša, the miller. He will pay 0.6666 minas 5 shekels of silver now. 0.5 mina of silver he will pay at the festival of Usmû."
1296,,1299,0,5 GÍN KÙ.BABBAR ša ší-im 2 UDU iš-tí PUZUR₄-e-nam,5 shekels of silver from the price of 2 sheep is owed by Puzur-Ennam.
1297,,1300,0,a-na a-dí-da ú a-lá-ḫi-im qí-bi-ma um-ma SIG₅-pì-a-šur-ma i-na {d}UTU-ši a-ba-a e-ra-ba-ni ANŠE-ri ú ṣú-ḫa-ru lá i-bi-tù ṭur₄-da-ni-šu-nu KÙ.BABBAR ší-im 1 ṣú-ba-tim ú URUDU li-ib-ší ṣú-ba-tám iš-tí-in ú ší-na dí-na-ma 1.5 ma-na <gap> šu tí pá-ni-ú-tim lá ta-dí-na ú-lá AN.NA,"To Adida and Ali-ahum from Damiq-pī-Aššur: The day Abaya arrives you must not let my donkeys and servants rest - send them! Let the silver, the price of 1 textile and the copper stay. Sell a couple of textiles and send me 1.5 mina with Abaya for me to dispose over. It is on the Narrow Track that I have left. My dear lords, as to the silver that I to Ṭāb-ṣill-Aššur, pay when PN arrives. If you have not sold the former textiles, either the tin <gap> for my expenses for the Narrow Track <gap>"
1298,,1301,0,<gap> a <gap> lá <gap> DUMU dan-a-šùr <gap> ma-na 1 GÍN KÙ.BABBAR <gap>-a-šur DUMU ša-lim-a-<gap>-5 ma-na URUDU i-na a-ba-an ma-tim 1 GÍN KÙ.BABBAR a-na ú-ṣú-ur-ša-a-šur DUMU da-mu-ma 2 me-at LÁ 5 ma-na URUDU a-na lu-lu mì-ma a-nim a-ḫu-bu-ul a-šur-DU₁₀ a-šur-{d}UTU-ši e-pu-ul a-ḫa-ma 17 GÍN KÙ.BABBAR tù-dí-na-tim i-ša-am 0.5 <gap>-du a-šur-{d}UTU-ši <gap> a a-na a-šur-DU₁₀ i-dí-in a-ḫa-ma 2.5 ma-na KÙ.BABBAR ku-nu-ki ša a-šur-{d}UTU-ši a-na a-lá-ḫi-im a-na a-šur-DU₁₀ ip-qí-id i-na KÙ.BABBAR ša e-pu-lu <gap>-2+0.6666 ma-na KÙ.BABBAR KI a-lá-bi₄-im DUMU ma-nu-a <gap> ma-na KI pá-na-kà <gap>-5 ma-na URUDU ší-im ki-ra-nim <gap> kà-ší-im 31.5 ma-na ši-im ki-ra-nim ú <gap>-im ki DUMU <gap> URUDU KI <gap> PUZUR₄-a-šur <gap>-ša-lim DUMU <gap> PUZUR₄.IŠTAR DUMU <gap> DUMU e-lá-ma ḫi-na-a <gap>,"<gap> Dān-Aššur <gap> mina(s) 1 shekel of silver for <gap>-Aššur, son of Šalim-A<gap>; <gap>-5 minas of copper by the local weight; 1 shekel of silver for Uṣur-ša-Aššur, son of Damuma; 195 minas of copper for Lullu. All this Aššur-šamšī paid for the debt of Aššur-ṭāb. Separately he bought for 17 shekels of silver dress-pins; 0.5 <gap> Aššur-šamšī <gap> gave to Aššur-ṭāb. Separately 2.5 minas of silver under the seals of Aššur-šamšī Aššur-ṭāb entrusted to Ali-ahum. Of the silver he paid <gap>-2.6666 minas of silver are with Ali-abum, son of Manua, <gap> minas with Panaka. <gap>-5 minas of copper, the price of wine for? the official, 31.5 minas, price of wine and <gap> are with the son of <gap> copper with <gap> Puzur-Aššur, <gap>-šalim, son of <gap> Puzur-Ištar, son of <gap> son of Elamma, hinnāya <gap>"
1299,,1302,0,a-na e-lá-ma qí-bi-ma um-ma a-ḫu-wa-qar a-dí ṭup-pí-im ša ta-áš-pu-ra-ni um-ma a-ta-ma KIŠIB a-lá-ḫi-im a-na e-lá-ma lá-pí-it ṭup-pu-um i li-bi₄ ṭup-pé-kà i-ba-ší ḫa-na-a ù id-na-a ik-nu-ku-šu šu-ma <gap>-tù-ru-ma <gap>-am šé-bi₄-lá-am-ma <gap> ma-lá ta-<gap>,"Say to Elamma, thus Ahu-waqar: As for the tablet about which you wrote me as follows: ""'Seal of Ali-ahum, to Elamma' is written (on it)"", that tablet is to be found among your tablets, hanāya and Idnāya have sealed it. If <gap> return? send me <gap> whatever you <gap>"""
1300,,1303,0,10 ma-na KÙ.BABBAR ṣa-ru-pá-am ma-áš-kà-tám i-ṣé-er a-sà-nim <gap> ṣú-ḫa-ri-šu ú ku-li-a DUMU a-lá-bi-im i-šu-ú a-na ša-na-at KÙ.BABBAR i-ša-qal ITU.1.KAM qá-ra-a-tum li-mu-um i-na-sú-in DUMU i-dí-a-bi-im,"10 minas of refined silver, on which a claim rests, is owed by Asanum, his servant, to Kuliya son of Ali-abum. He will pay the silver in one year. Month VIII, eponymy of Ennam-Suen, son of Iddin-abum."
1301,,1304,0,um-ma be-lá-nu-um-ma a-na en-um-a-šur i-dí-a-šùr ù pì-lá-aḫ-IŠTAR qí-bi-ma 2 GÚ AN.NA 4 TÚG.SIG₅ 3 TÚG ša qá-tim ù ANŠE ṣa-lá-ma-am ša pí-lá-aḫ-IŠTAR iš-tù ḫa-ḫi-im ù-šé-ra-da-ni šu-ma 8 GÍN.TA a-na KÙ.BABBAR AN.NA dí-na ù té-er-ták-nu li-li-kam šu-ma 8 GÍN.TA a-na KÙ.BABBAR lá-šu a-na KÙ.BABBAR lá ta-da-na AN.NA a-na e-ba-ar ša-la-aḫ-šu-wa lá ú-šé-tù-qú-nim ki-ma ša-lá-am AN.NA-ki e-ba-ar tí-mì-il₅-ki-a-ma AN.NA a-na dur₄-ḫu-mì-it lu-šé-tí-qú šu-ma ša ku-bu-ur-na-at a-ma-kam wa-áš-bu AN.NA li-ší-ib-ma ri-ik-sé a-na <gap>-a-<gap> i-na li-bi₄ ša-áp-tim ù maš-ke ší ta-kà-na-ma lu-šé-tí-qú <gap> a-na KÙ.BABBAR a-na <gap>,"Thus Bēlānum, say to Ennam-Aššur, Iddin-Aššur and Pilah-Ištar: As for the 2 talents of tin, 4 textiles of fine quality, 3 of current quality, and a black donkey, which Pilah-Ištar will bring down from hahhum - if a rate of 8 : 1 is possible, sell the tin for silver and let your report come to me. If a rate of 8 : 1 against silver is impossible do not sell it for silver. One must not ship the tin on via Šalahšuwa. For the safety of the tin one must ship the tin on via Timilkiya to Durhumit. If people from Kuburnat are staying there let the tin be ? and put small packets for / as <gap> here and there inside the wool and the hides and so ship them on. Sell it? for silver to <gap>."""""
1302,,1305,0,15.3333 GÍN KÙ.BABBAR ší-im URUDU i-na li-bi₄ ku-lu-ú DUMU a-šur-ma-lik IGI a-lá-ḫi-im kà-ṣa-ri-šu IGI ma-nu-um-ba-lum-a-šur DUMU a-šur-re-i,"15.3333 shekels of silver, the price of copper, is owed by Kullu son of Aššur-malik."
1303,,1306,0,1.3333 ma-na KÙ.BABBAR iš-tù ḫa-muš-tim ša kur-ub-IŠTAR DUMU PUZUR₄.DINGIR a-šu-mì šu-IŠTAR DUMU šu-ki-tim a-na en-na-sú-in DUMU šu-IŠTAR áš-qú-ul,I paid 1.3333 mina of silver from the week of Kurub-Ištar son of Puzur-ilī on behalf of Šu-Ištar son of Puzur-ilī on behalf of Šu-Ištar son of Šukkutum to Enna-Suen son of Šu-Ištar.
