,oare_id,aligned_transliteration,aligned_translation,comment
618,803449c3-3581-4dbc-b973-a2a65254b224_0.0,ša ḫu-bu-ul i-dí-a-bi-im,Concerning the debt of Iddin-abum.,"Suggested interval was (12-19) but tokens 12-14 capture ""ša ḫu-bu-ul i-dí-a-bi-im""; interval start adjusted to 12 which is correct; end was too late"
619,803449c3-3581-4dbc-b973-a2a65254b224_1.0,5 ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er i-dí-a-bi-im a-šur-{d}UTU-ši i-šu,Iddin-abum owes 5 minas of refined silver to Aššur-šamši.,"Interval adjusted from (19-27) to tokens 15-22; ""i-šu"" closes the ownership clause"
620,803449c3-3581-4dbc-b973-a2a65254b224_2.0,iš-tù ḫa-mu-uš-tim ša a-mur-IŠTAR a-na 23 ḫa-am-ša-tim i-ša-qal,Reckoned from the week of Amur-Ištar he must pay within 23 weeks.,Interval adjusted from (27-38) to tokens 23-30
621,803449c3-3581-4dbc-b973-a2a65254b224_3.0,šu-ma i-na ma-lá u₄-me-šu la iš-qú-ul 1.5 GÍN.TA i ITU.KAM a-na ma-na-im ú-ṣa-áb,If he has not paid within his stipulated term he must pay interest at the rate 1.5 shekel per month per mina.,Interval (38-44) adjusted to tokens 31-43; covers full penalty clause
622,814ad661-c264-4d94-9c1e-2273334268e6_0,<gap> ig-re ag-ri-im a-bi-a-a DUMU ú-zu-a ú-ma-lá 2 GÍN lu-bu-šu ša-bu,[broken] the wages of the hireling Abiaya, son of Uzua will compensate; he has been paid 2 shekels (of silver) as his clothing allowance.
623,814ad661-c264-4d94-9c1e-2273334268e6_1,KIŠIB en-um-a-šur DUMU i-ku-pí-a KIŠIB a-ni-na-a DUMU DIRI-im KIŠIB e-na-a-šur DUMU šu-ul-mì-ša-a-šùr,"Seal of Ennum-Aššur, son of Ikuppia, seal of Aninaya, son of Watrum, seal of Ennam-Aššur, son of Šulmi-ša-Aššur.",Interval (12-23) matches suggested (11-24) closely; DIRI-im = Watrum
624,814ad661-c264-4d94-9c1e-2273334268e6_2,12 ma-na URUDU ší-kam i-ṣé-er en-um-a-šùr DUMU i-ku-pí-a DAM.GÀR i-šu,"12 minas of šikku-copper Ennum-Aššur, son of Ikuppia, owes to the creditor.",Interval (24-33) matches suggested interval well
625,814ad661-c264-4d94-9c1e-2273334268e6_3,iš-tù SAG ITU.KAM tí-i-na-tim a-na ITU.KAM i-ša-qal,Reckoning from the beginning of the month Tēinātum he will pay in one month.,Interval (34-40); suggested (33-40) adjusted by 1
626,814ad661-c264-4d94-9c1e-2273334268e6_4,šu-ma lá iš-qú-ul a-na 10 ma-na na-e 0.5 ma-na.TA i-na ITU.KAM ṣí-ib-tám ú-ṣa-áb,If he does not pay he will add an interest of 1/2 mina per 10 minas per month.,Interval (41-53) matches suggested (40-53)
627,814ad661-c264-4d94-9c1e-2273334268e6_5,li-mu-um da-dí-a DUMU šu-{d}NIN.ŠUBUR,"Eponymy of Dadiya, son of Šu-Ilabrat.",Interval (54-57) matches suggested (53-57)
628,814ad661-c264-4d94-9c1e-2273334268e6_6,wa-bi₄-il₅ ṭup-pì-im šu-ut DAM.GÀR,The bearer of the tablet is the creditor.,Interval (58-61) matches suggested (57-61)
629,814ad661-c264-4d94-9c1e-2273334268e6_7,KIŠIB ḫi-ta-ni DUMU DINGIR-na-da KIŠIB en-um-a-šùr DUMU <gap> KIŠIB a-mur-a-šùr DUMU i-šar-ki-it-a-šùr KIŠIB ku-na-na-a,"Seal of Hitani, son of Ilī-nādā, seal of Ennum-Aššur, son of [..........], seal of Amur-Aššur, son of Išar-kitti-Aššur, seal of Kunnanaya.",Interval (62-75) matches suggested (61-78) adjusted to end before the numeral
630,814ad661-c264-4d94-9c1e-2273334268e6_8,2 GÚ 10 ma-na URUDU ší-kam i-na a-ba-an ma-tim i-ṣé-er ku-na-na-a ku-li-a DUMU a-lá-bi₄-im i-šu,"2 talents 10 minas of šikkum copper, by the local weight standard, Kunnanaya owes to Kuliya, son of Ali-abum.",Interval (76-91) matches suggested (78-92) adjusted to start at numeral
631,814ad661-c264-4d94-9c1e-2273334268e6_9,iš-tù ITU.KAM qá-ra-a-tim li-mu-um a-šùr-SIPA DUMU ì-lí-e-mu-qí ki-ma a-wa-at kà-ri-im 1.5 ma-na.TA a-na 1 GÚ-tim i-na ITU.KAM ṣí-ib-tám ú-ṣa-áb,"Reckoning from month VIII, eponymy of Aššur-rē'ī, son of Ilī-emūqī, in conformity with the rule of the kārum, he will add an interest of 1 1/2 mina per talent per month.",Interval (92-109) matches suggested (92-111) adjusted; qá-ra-a-tim = month VIII
632,814ad661-c264-4d94-9c1e-2273334268e6_10,ÌR a-bi₄-ì-lí ù ri-ki-sú a-na 3.5 GÍN KÙ.BABBAR SAḪAR.BA ku-a-li DUMU a-lá-bi₄-im iš-tí {d}UTU,"The slave Abī-īlī with his fetter for 3 1/2 shekels of 'dust silver' Kuliya, son of Ali-abum bought from Šamaš-[dugul son of Ibni-Adad] [text breaks off]",Interval (110-123); text ends mid-sentence with {d}UTU (beginning of Šamaš-dugul); remaining content in segments 11-13 is not present in the provided transliteration
633,814ad661-c264-4d94-9c1e-2273334268e6_11,[not present in transliteration],Šamaš-dugul is satisfied with the silver the price of Abī-īlī and his fetter.,Suggested interval (133-123) is invalid (start > end); content absent from provided transliteration
634,814ad661-c264-4d94-9c1e-2273334268e6_12,[not present in transliteration],Šamaš-dugul and his sons will not vindicate Abī-īlī from Kuliya and his sons.,Suggested interval (139-123) is invalid (start > end); content absent from provided transliteration
635,814ad661-c264-4d94-9c1e-2273334268e6_13,[not present in transliteration],"In the presence of Asqūdum, son of Aššur-bāni of Aššur-lamassī, son of Suen-nāqid, of [.........]-Suen, son of Amur-Ištar.",Suggested interval (148-123) is invalid (start > end); content absent from provided transliteration
636,0.0,20 ma-na KÙ.BABBAR ṣa-ru-pá-am <gap> i-ṣé-er i-dí-a-bi₄-im šu-{d}EN.LÍL i-šu,Iddin-abum owes 20 minas of refined silver to Šu-Illil.,Interval adjusted to token 8; debt statement ends with i-šu
637,1.0,iš-tù ḫa-mu-uš-tim ša li-ba-a a-na 13 ḫa-am-ša-tim i-ša-qal,Reckoned from the week of Libbaya he must pay in 13 weeks.,Interval adjusted to cover the repayment term clause
638,2.0,šu-ma lá iš-qú-ul 1.5 GÍN.TA i-na ITU.KAM a-na 1 ma-na-im ú-ṣa-áb,If he has not paid (in time) he must add interest at the rate 1.5 shekel per month per mina.,Penalty interest clause
639,3.0,šu-ma lá-ma u₄-me-šu ṭup-pu-šu i-lá-pu-tù 5 ma-na KÙ.GI šu-mì šu-{d}EN.LÍL i-lá-pá-at IGI a-mur-IŠTAR IGI en-nam-a-šùr,If they write his tablet before his term is up he shall book 5 minas of gold in the name of Šu-Illil. Witnessed by Amur-Ištar by Ennam-Aššur.,Remaining text including early tablet clause and witnesses
640,826445f1-9a31-413c-9c0a-b7c823953a37_0,i-na 2 ma-na 15 GÍN KÙ.BABBAR ša a šu-mì ší-im bé-tim iš-tí a-šur-ma-lik DUMU ku-ra-ra bé-lúm-ba-ni i-na-sú-in ú pè-ru-wa il₅-qé-ú-ni-ni-ma ṭup-pá-šu-nu i-ḫi-ir-mu-ú i-na ŠÀ.BA 0.8333 ma-na i-na KÙ.BABBAR-pí-a bé-lúm-ba-ni iš-qú-ul,"Of the 2 minas and 15 shekels of silver which, because of the payment for the house, Bēlum-bāni, Ennam-Suen and Peruwa, had obtained from Aššur-mālik, son of Kurara, and for which their valid deed had been drawn up, 5/6 mina thereof Bēlum-bāni paid with my silver.",Words 0-29; interval adjusted to end at iš-qú-ul
641,826445f1-9a31-413c-9c0a-b7c823953a37_1,a-na 0.3333 ma-na 5 GÍN KÙ.BABBAR ṭup-pá-am ú-kà-il₅-ma ṣí-ib-tum ma-dí-iš i-li-ik-ma a-na 0.8333 ma-na KÙ.BABBAR im-gu-ra-ni,For 25 shekels of silver I kept a debt-note and a lot of interest has accrued and he has agreed with me on an amount of 5/6 mina of silver.,Words 30-45; interval adjusted to end at im-gu-ra-ni
642,826445f1-9a31-413c-9c0a-b7c823953a37_2,0.5 ma-na KÙ.BABBAR mu-sú-kà-e úṣ-ba-am,1/2 mina of spoiled silver has been added for me.,Words 46-50
643,826445f1-9a31-413c-9c0a-b7c823953a37_3,0.3333 ma-na 1 GÍN KÙ.BABBAR ší-im 3 ku-ta-ni ša qá-tim ša a qá-tí bé-lúm-ba-ni a-na É kà-ri-im i-dí-ú ŠU.NÍGIN 1.6666 ma-na 1 GÍN KÙ.BABBAR,"21 shekels of silver, the price of three kutānu-textiles of current quality that he deposited on Bēlum-bāni's account in the kārum-office - in all 1 2/3 mina and 1 shekel of silver.",Words 51-74
644,826445f1-9a31-413c-9c0a-b7c823953a37_4,a-ḫa-ma 1 ma-na KÙ.BABBAR ša a-šu-mì a-na-aḫ-ì-lí DUMU ṭá-ki-i a-šùr-DU₁₀ DUMU a-bu-ša-lim a-pu-lu na-áš-pè-er-tám ša a-šùr-DU₁₀ a-šùr-ma-lik i-ni-iš-am um-ma šu-ut-ma i-na ni-kà-sí KÙ.BABBAR a-šur-DU₁₀ ú-ṭá-ḫi-a-am,"Separately, as for the 1 mina of silver, which on behalf of Anah-ilī, the son of Ṭākī, I guaranteed to Aššur-ṭāb, son of Abu-šalim, Aššur-mālik brought me a letter of Aššur-ṭāb, saying: At the accounting Aššur-ṭāb has transferred that silver (claim) to me.",Words 75-99
645,826445f1-9a31-413c-9c0a-b7c823953a37_5,iš-té-ni-iš 2.6666 ma-na 1 GÍN KÙ.BABBAR a-šùr-ma-lik i-na li-bi₄-a i-dí-i,All together Aššur-mālik has charged me 2 2/3 minas and 1 shekel of silver.,Words 100-109
646,826445f1-9a31-413c-9c0a-b7c823953a37_6,IGI i-dí-sú-in DUMU ku-ku-lá-nim IGI šu,"In the presence of Iddin-Suen, son of Kukulānum, of Šu-Išhara, son of Kurara, of Aššur-ṣululī, son of Ennam-Suen, of Aššur-bāni, the scribe.",Words 110-115; remainder of witness list not present in surviving transliteration
647,826445f1-9a31-413c-9c0a-b7c823953a37_7,[tablet continues - text not preserved in transliteration],"I had been ordered to make this silver arrive in the City, but after Aššur-mālik had died, I paid 2 2/3 minas of 1 shekel of silver in Kanesh to Šu-Išhara, son of Kurara, Kurarā, son of Aššur-mālik, and to Labān-nādā, the attorney, in the presence Amur-Šamaš, son of Puzur-ilī, of Aššur-bāni, son of the priest of Ea-šarrum, of Aššur-imittī, son of GADUbatum, of Ennam-Aššur, son of Ennānum, son of Kuprurak, (and) of Aššur-bāni, the scribe.",Text not preserved in the provided transliteration excerpt
648,826445f1-9a31-413c-9c0a-b7c823953a37_8,[tablet continues - text not preserved in transliteration],The letter addressed to Aššur-ṭāb concerning the 1 mina of silver they gave me (and) I have a letter of Aššur-ṭāb in my possession.,Text not preserved in the provided transliteration excerpt
649,0.0,ša-lim-a-šùr ù šu-be-lúm DUMU i-dí-a-bi-im ni-kà-sí ma-aḫ-ri-ni i-sí-ú-ma 1 GÚ 13 ma-na URUDU lá-mu-na-am i-ṣé-er šu-be-lim ša-lim-a-šùr i-dí-i,Šalim-Aššur and Šu-Bēlum son of Iddin-abum settled accounts before us and Šalim-Aššur submitted 1 talent 13 minas of bad copper as a claim on Šu-Bēlum.,Interval adjusted from (0-18) to (0-17); token 17 i-dí-i closes the first clause before um-ma introduces direct speech
650,1.0,um-ma ša-lim-a-šùr-ma a-na šu-be-lim-ma i pí-i i-sú-ri-ik a-bi-a qá-tá-at a-bi-kà al-ta-pá-at lu i-ba-ba-tí-šu KÙ.BABBAR al-qé-ma a-na ḫu-bu-li-šu ú-ša-qí-il₅ lu i-na na-ru-qí-a KÙ.BABBAR ma-da-ma a-na ḫu-bu-ul a-bi-kà ú-ša-qí-il₅ al-kam ṭup-pí-a lu-kà-li-im-kà,"Šalim-Aššur said to Šu-Bēlum ""On the orders of Issu-arik my father I wrote myself as your father's guarantor. I took silver from his outstanding claims and paid to cover his debt and I paid a great deal of silver from my joint-stock capital for your father's debt. Come! Let me show you my tablets!""",Interval (18-47); um-ma opens direct speech of Šalim-Aššur closing with lu-kà-li-im-kà
651,2.0,um-ma šu-be-lúm-ma we-da-am i-a-tí tù-la-ma-da-ni qá-dum a-ḫe-a-ma šé-a-ni,"Šu-Bēlum answered: ""You inform me alone. Sue me together with my brothers.""",Interval (48-55); um-ma opens Šu-Bēlum's response
652,3.0,IGI PUZUR₄-a-šùr IGI en-na-nim,Witnessed by Puzur-Aššur by Ennānum.,Interval (56-59); witness formula
653,4.0,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš <gap> i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ṭup-pá-am ša ší-bu-tí-ni ni-dí-in,The Kanesh colony gave us for these proceedings and we gave a tablet with our testimony before the dagger of Aššur.,Interval (60-74); closing legal formula
654,0.0,a-na en-nam-a-šur qí-bi-ma um-ma a-lá-ḫu-um-ma,To Ennam-Aššur from Ali-ahum:,Standard epistolary opening formula
655,1.0,a-ḫi a-ta a-ma-kam iš-tù a-wa-tù-um i-ba-tù-qú-ni tí-ir-ta-kà li-li-kam-ma a ma-lá tí-ir-tí-kà le-pu-uš a-ṣé-er ANŠE a-ni-ú-tim 3 ANŠE ù ṣú-ḫa-ri šé-ri-a,"My dear brother, send me word there after the matter has been dropped, then I shall act in accordance with your instructions. Dispatch 3 donkeys and servants in addition to these donkeys.",Interval adjusted from suggested (5-25); token 24 (šé-ri-a) included as it belongs to the dispatch instruction
656,2.0,a ma-lá té-er-tí-kà le-pu-uš,I shall act in accordance with your instructions.,Closing statement repeating commitment to follow instructions
657,0.0,i-na ITU.1.KAM ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb,per month he will add interest in conformity with the rule of the kārum.,Interval adjusted to start at token 1 (skipping leading gap); tokens 1-7
658,1.0,ITU.KAM áb-ša-ra-ni li-mu-um ša qá-té a-bu-ša-lim DAM.GÀR DUMU ì-lí-a-lúm,Month V the eponymy of [the successor of] Abu-šalim the trader son of Ilī-ālum.,Tokens 8-16; interval matches suggested (8-17)
659,2.0,KIŠIB a-mur-a-šùr DUMU da-dí-a KIŠIB <gap> DUMU ú-zu-bi₄-iš-ki-im KIŠIB <gap> DUMU a-šùr-{d}UTU-ši <gap> i-ṣé-er <gap> DUMU a-šùr-{d}UTU-ši DAM.GÀR i-šu <gap> a-na <gap>,Seal of Amur-Aššur son of Dadiya [seal of......] son of Uzubiškum seal of....... son of Aššur-šamši..... [son of Aššur-šamši owes to the creditor from...... within],Tokens 17-38; large segment covering seals and debt statement; interval 17-39
660,3.0,ki-ma a-wa-at kà-ri-im,[x months he shall pay.],"Tokens 39-41; interval 39-42 slightly adjusted; the ""if not"" clause bridges into next segment"
661,4.0,ṣí-ib-tám ú-ṣa-áb <gap>,[If not] he will add interest in conformity with [the rule of the kārum] x .......,Tokens 42-44; interval 42-45
662,860e8848-a277-46cb-b1e3-54fc9a05ff79_0.0,IGI lá-ma-sí DUMU MÍ-aḫ-ša-lim,Witnessed by Lamassī daughter of Ah-šalim.,Interval adjusted from (36-40) to (37-40); token 36 (i-ta-na-ṣa-ba-am) belongs to the preceding interest clause not the witness list.
663,0.0,ili₅-ba-ni DUMU i-a-a ù a-bu-ša-lim ÌR i-na bu-ru-uš-ḫa-dim a-na ni-kà-sí ša-sá-im iṣ-bu-tù-ni-a-tí-ma,"Ilī-bāni son of Yaya and the slave Abu-šalim seized us in Burušhaddum in order to settle accounts,","Guide translation says 'slave of Abu-šalim' but HQ translation and text (ÌR follows a-bu-ša-lim as a title/status, not genitive) support 'slave Abu-šalim'; interval (0,12) correct"
664,1.0,um-ma ì-lí-ba-ni-ma a-na-ku ki-ma ša-lim-a-šùr al-kam i-na IGI a-we-li a-ni-ú-tim ší-sí ṭup-pí-šu-nu ša maš-kà-na-tim ma-aḫ-ri-ni iš-ku-nu-ma,"and Ilī-bāni said: ""I act on behalf of Šalim-Aššur. Come on, settle with these men as witnesses."" They placed their tablets concerning deposits before us,","Interval (12,28) correct; token 27 iš-ku-nu-ma ends this segment"
665,2.0,um-ma ili₅-ba-ni-ma lu-qú-ut 5 GÚ KÙ.BABBAR ù e-li-iš a-we-lam tù-ús-ta-ri-ir ù i-na a-wa-tí-ma a-ni-tim pá-ni ṣa-al-mu-tim a-we-lam tù-uš-ta-ar-ší ni-kà-sí i-na ma-aḫ-ri-ni im-šu-ḫu-ma,"and Ilī-bāni said: ""You cheated the boss for goods worth 5 talents of silver or more. Consequently, on this very matter you have made the boss very angry."" They took away the accounts in our presence,","Interval (28,50) correct; token 49 im-šu-ḫu-ma ends segment"
666,3.0,um-ma ili₅-ba-ni-ma ma-lá-ma li-bi-kà ší-ta-kà-an,"and Ilī-bāni said: ""Submit whatever you have in your possession.""","Interval (50,55) correct; short segment with um-ma ili₅-ba-ni-ma introducing the speech"
667,4.0,um-ma a-bu-ša-lim-ma a-lá-an 40 ma-na KÙ.BABBAR mì-ma i-na li-bi-a ù-lá i-ší-tám,"Abu-šalim answered: ""Apart from 40 minas of silver there is nothing left in my possession.""","Interval (55,66) correct"
668,5.0,um-ma ili₅-ba-ni-ma a-ma i-na ṭup-pí-šu ša 5 GÚ KÙ.BABBAR ù e-li-iš la lá-pu-ta-kum,"Ilī-bāni said: ""Now, were goods worth 5 talents of silver or more not booked for you in his tablet?""","Interval (66,79) correct"
669,6.0,a-bu-ša-lim i-ṣú-ra-tum ù-šé-ṣí-a-ma um-ma a-bu-ša-lim-ma a-ma lá i-ṣú-ra-tù-šu ša É a-am-ku-a-i-tim a-ḫa-at ru-ba-im ša-ša-sá-ma-i-im ù tí-ra-at e-kál-lim a-na-kam a-qú-ul-ší-na le-qé-a-ma a-tù-nu-ma ša-dí-na,"Abu-šalim produced iṣurātum-documents and said: ""Here, are they not his iṣurātu-documents from the house of the queen of Amkuwa, the sister of the king of Šašasama? Also, I have listened to the orders of the palace here. Take them so that you yourselves can have them sold.""","Interval (79,101) correct; guide has 'his işurtu-documents' as question, HQ translation matches"
670,7.0,um-ma ili₅-ba-ni-ma ša ni-iš a-lim{ki} ta-,"Ilī-bāni answered: ""I shall keep in mind what was sworn by the City, that the accounts have been removed and I have not settled anything.""","Text is cut off at ta- (transliteration provided ends here); interval corrected to (101, end of provided text); suggested interval (101,107) likely correct for full tablet"
671,8.0,[text not provided],"[Abu-šalim said: """"I shall go and clear myself with my master.""""]","Transliteration not provided for this segment; suggested interval start 114 has reversed bounds in original (114,107) - corrected to (107,114)"
672,9.0,[text not provided],"[Ilī-bāni said: """"Give at least 1/2 mina of gold for the girl's ears.""""]","Transliteration not provided; suggested interval (120,107) has reversed bounds - corrected to (114,120)"
673,10.0,[text not provided],"[He answered: """"I have nothing available.""""]","Transliteration not provided; suggested interval (130,107) has reversed bounds - corrected to (120,130)"
674,11.0,[text not provided],"The plenary assembly of the Kanesh colony gave us for these proceedings, and we gave our testimony before Aššur's dagger.","Transliteration not provided; suggested interval (135,107) has reversed bounds - corrected to (130,135)"
675,12.0,[text not provided],"Witnessed by Šu-Kūbum son of Aššur-idī, by Iddin-Ištar son of Aššur-idī; Suen-nādā son of Ennam-Aššur was our (absent) partner.","Transliteration not provided; suggested interval (149,107) has reversed bounds - corrected to (135,149); witness list closing the document"
676,86bc6851-7d6f-40e4-a39f-eaea5f583962,<gap> mì-li-ik lu-qú-tim ša tám-kà-ri-im mì-il₅-kà,take a decision concerning the textiles belonging to the merchant.,"Single segment covering full transliteration; interval (1,6) encompasses all tokens including gap."
677,88b8d333-79a2-4018-922a-52862c990ecf,a-na en-nam-a-šur ù a-lá-ḫi-im qí-bi₄-ma um-ma SIG₅-pí-a-šur-ma,To Ennam-Aššur and Ali-ahum from Damiq-pī-Aššur:,Standard Old Assyrian epistolary address formula; interval slightly adjusted to include full sender formula ending with SIG₅-pí-a-šur-ma
678,0.0,a-na ku-li-a DUMU a-lá-bi₄-im DUB i-dí-na-bi₄-im DUMU šu-IŠTAR GUDU₄ ša IŠTAR,To Kuliya son of Ali-abum tablet of Iddin-abum son of Šu-Ištar priest of Ištar.,Interval (0-10) correct; covers the address and sender introduction.
679,1.0,a-na ku-li-a qí-bi-ma um-ma i-dí-na-bu-um-ma,Say to Kuliya. Thus says Iddin-abum:,Interval adjusted to (11-15); token 16 ('10') belongs with segment 2. Suggested end of 17 was slightly off.
680,2.0,10 GÍN KÙ.BABBAR ša ÌR ṣú-ḫa-ri-ni ú e-nu-mì-ili₅ a-na PÚZUR-a-šur DUMU a-ḫu-wa-qar i-ḫi-ib-lu-ni šu-ma na-áš-pè-er-tí ša a-ta-a ša ta-sí-ú-ma KÙ.BABBAR ta-al-qé-ú a-ta-áb-lá-ku-um na-áš-pè-er-tám ša ku-nu-ki-a tù-ša-ra-am,10 shekels of silver for which Urdum our servant and Ennum-ilī had become indebted to Puzur-Aššur son of Ahu-waqar - if I deliver to you a letter of Ataya stating that you have settled accounts and have collected that silver will you then release to me the letter with my seal?,Interval adjusted to start at 16 ('10 GÍN') to keep the amount with segment 2; ends at token 41.
681,3.0,um-ma ku-li-a-ma šu-ma na-áš-pè-er-tám lá ta-ta-áb-lam 10 GÍN KÙ.BABBAR ta-ša-qá-lam,Kuliya answered: If you do not deliver to me that letter you shall pay me 10 shekels of silver.,Interval (42-51) correct; covers Kuliya's reply in full.
682,8aa36c00-69b3-4a57-b7cf-a5fa320f79ef_0.0,a-na a-lá-ḫi-im qí-bi₄-ma um-ma MAN-a-šur-ma,To Ali-ahum from Puzur-Aššur,Standard epistolary opening formula; interval (0-62) correctly captures the address
683,8bb1a491-56b7-498c-bcf8-f4969572309e_0.0,5 ma-na KÙ.BABBAR ṣa-ru-pá-am ú-zu-bi-iš-kum DUMU šu-a-nim i-na ší-im SÍG.ḪI.A ša ú-ší-na-lam il₅-qé,Uzub-iškum son of Šu-Anum has received 5 minas of refined silver from the proceeds of Ušinalam's wool.,Adjusted interval to include il₅-qé (token 13) as the main verb closing the first clause; suggested interval end was slightly misplaced.
684,8bb1a491-56b7-498c-bcf8-f4969572309e_1.0,IGI i-dí-ku-bi IGI a-lá-bi-im DUMU šu-a-šùr IGI en-na-sú-in,Witnessed by Iddin-Kūbi by Ali-abum son of Šu-Aššur by Enna-Suen.,Witness list begins with first IGI at token 14; interval adjusted accordingly.
685,8c05dfd0-ad5c-4dba-b28b-cac473e87c46,a-na a-lá-ḫi-im qí-bi-ma um-ma PUZUR₄-a-šur-ma,To Al-aḫum from Puzur-Aššur:,Standard Old Assyrian epistolary address formula; interval (0-67) slightly overextends into next clause (áš-pu-ra-ku) which belongs to the following sentence
686,0.0,KIŠIB a-šur-ták-lá-ku DUMU i-ku-nim KIŠIB ki-nam-a-šùr DUMU ba-ba-lim KIŠIB a-šur-na-da DUMU ḫa-pu-a-lá ša ḫu-bu-ul a-šùr-na-da DUMU ḫa-pu-a-lá,Seal of Aššur-taklāku son of Ikūnum seal of Kīnam-Aššur son of Babālum seal of Aššur-nada son of Happuala.,Interval adjusted to end at token 16 (second ḫa-pu-a-lá) before the numeral 10
687,1.0,10 GÍN KÙ.BABBAR SAḪAR.BA i-ṣé-er a-šùr-na-da DAM.GÀR i-šu,10 shekels of 'dust silver' Aššur-nādā owes to the creditor.,Interval 17-24 matches well
688,2.0,ITU.1.KAM ḫu-bu-ur li-mu-um ša qá-té a-bu-ša-lim DUMU ì-lí-a-lim,Month VI eponymy of the successor of Abu-šalim son of Ilī-alum.,Interval 25-32 matches well
689,3.0,a-na ITU.6.KAM i-ša-qal šu-ma lá iš-qúl 1.5 GÍN.TA KÙ.BABBAR i-na ITU.1.KAM-im ṣí-ib-tám a-na 1 ma-na-im ú-ṣa-áb,He will pay within 6 months if he does not pay he will add 1 1/2 shekel of silver per month as interest per mina.,Interval 33-48 matches well
690,4.0,wa-bi-il₅ ṭup-pí-im šu-ut DAM.GÀR-ru-um,The bearer of this tablet is the creditor.,Interval 49-52 matches well
691,5.0,a-ma-kam tù-ur-IŠTAR DUMU zu-ma-<gap> be-lá-a-wa-tim ša-i-il₅-šu,Over there Tūrī-Ištar son of Zuma... (is) the litigant ask him.,Interval 53-58 matches well
692,0.0,a-na ku-li-a qí-bi-ma um-ma a-ba-ba-a-ma,Say to Kuliya thus says Ababaya:,Tokens 0-4; interval (0-5) correct
693,1.0,a-na ma-lá pì-i na-áš-pár-tí-kà pá-ni-tim 3 ma-na KÙ.BABBAR a-na e-na-na-tim a-dí-in,Exactly as your previous letter stated I have given 3 minas of silver to Ennānātum.,Tokens 5-15; interval (5-16) correct
694,2.0,a-pu-tum mì-nu-um ša a-na e-na-na-at-a-šùr KÙ.BABBAR tù-ší-ru-ú,Please what is this that you released silver to Ennānāt-Aššur?,Tokens 16-22; interval (16-23) correct
695,3.0,a-na lá-ni-šu ta-tí-ki-il₅ lá É-tám lá ša-ra-am i-šu ú KÙ.BABBAR tù-ší-ir,You put trust in his outward appearance but he has neither house nor child and still you released the silver!,Tokens 23-33; interval (23-34) correct
696,4.0,a-pu-tum a-na me-ra um-mì-a-nim,Please to an independent trader,Tokens 34-37; interval (34-38) correct
697,5.0,<gap>-be <gap> ma-na-aḫ-tí bur-IŠTAR ša-i-il₅,...as for my misery / expenses ask Būr-Ištar (about it).,Tokens 38-42; interval (38-50) adjusted to 38-42 as tokens 43+ belong to seg 6
698,6.0,mì-ma ša a-dí-nu-šu-i-ni a-na a-šur-ṣú-lu-li i-na ṭup-pì-im ša i-is-ku-ri-im lá-pu-ut,All I gave him for Aššur-ṣululī has been registered on a wax tablet.,Tokens 43-52; interval (50-60) adjusted to 43-52
699,7.0,a-pu-tum lá ta-ša-lá-aṭ,Please do not act highhandedly.,Tokens 53-55; interval (60-64) adjusted to 53-55
700,8.0,ṭup-pá-am ša É bé-lúm-ba-ni na-áš-pár-ta-kà li-li-kam lu nu-šé-ṣí-šu,As for the tablet of/in the house of Bēlum-bāni - when your letter comes we will obtain its release.,Tokens 56-63; interval (64-71) adjusted to 56-63
701,9.0,a-ḫa-at-kà a-na a-bi-kà ma-da-tí-ma ta-ta-wu i-na li-bi a-bi-kà,Your sister talks a lot to your father and she tries to make him forget you!,Tokens 64-71; interval (71-80) adjusted to 64-71
702,10.0,tù-šé-ṣa-kà lá ta-ša-lá-aṭ mì-ma lá ta-pá-lá-aḫ e-lá-nu-kà a-bu-kà lá i-šu,Do not act highhandedly you have nothing to fear since your father has nobody but you.,Tokens 72-81; interval (80-89) adjusted to 72-81
703,11.0,a-pu-tum a-ni-qí ša a-mu-tim,Please the rings of meteoric iron,Tokens 82-85; interval (89-92) adjusted to 82-85
704,12.0,<gap> ù KI.DU-ra-am,[ ] and the....,Tokens 86-88; interval (93-92) adjusted to 86-88; note interval was inverted/erroneous
705,13.0,a-šùr-ṣú-lu-li <gap> lu-ub-lam,let Aššur-ṣululī [take them along] to bring (them) to me.,Tokens 89-91; interval (96-92) adjusted to 89-91; note interval was inverted/erroneous
